nome_municipio,ano,total_furtos
Ipu,2015,99
Ipu,2016,118
Ipu,2017,143
Ipu,2018,95
Ipu,2019,131
Ipu,2020,132
Ipu,2021,81
Ipu,2022,170
Ipu,2023,106
Ipueiras,2009,1
Ipueiras,2011,2
Ipueiras,2012,1
Ipueiras,2013,16
Ipueiras,2014,40
Ipueiras,2015,76
Ipueiras,2016,109
Ipueiras,2017,114
Ipueiras,2018,109
Ipueiras,2019,77
Ipueiras,2020,48
Ipueiras,2021,78
Ipueiras,2022,92
Ipueiras,2023,103
Iracema,2009,9
Iracema,2010,3
Iracema,2011,1
Iracema,2012,8
Iracema,2013,18
Iracema,2014,22
Iracema,2015,18
Iracema,2016,23
Iracema,2017,41
Iracema,2018,37
Iracema,2019,37
Iracema,2020,24
Iracema,2021,29
Iracema,2022,27
Iracema,2023,35
Irauçuba,2009,1
Irauçuba,2010,3
Irauçuba,2011,3
Irauçuba,2012,6
Irauçuba,2013,9
Irauçuba,2014,14
Irauçuba,2015,17
Irauçuba,2016,10
Irauçuba,2017,26
Irauçuba,2018,31
Irauçuba,2019,41
Irauçuba,2020,44
Irauçuba,2021,52
Irauçuba,2022,46
Irauçuba,2023,67
Itaitinga,2009,176
Itaitinga,2010,200
Itaitinga,2011,158
